"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",34,0,1700,1712,1077,2580,19,0.57
"GET","gold-1",34,0,1700,1692,1196,2584,19,0.57
"GET","gold-2",34,0,1700,1682,980,2228,19,0.57
"GET","gold-3",33,0,1700,1767,1100,2644,19,0.55
"GET","gold-4",31,0,1700,1859,949,3329,19,0.52
"GET","gold-5",34,0,1700,1701,963,2835,19,0.57
"GET","gold-6",33,0,1700,1783,1049,3106,19,0.55
"GET","gold-7",34,0,1700,1742,907,3236,19,0.57
"GET","gold-8",32,0,1700,1794,802,3491,19,0.54
"GET","gold-9",35,0,1600,1686,955,2280,19,0.59
"None","Total",334,0,1700,1740,802,3491,19,5.61